,NAME,GEO_ID,S1901_C01_012E,S1501_C02_015E,S1701_C03_001E,state,place
200,"Strawberry CDP (Marin County), California",1600000US0675315,107063,72.7,5.2,06,75315
201,"Strawberry CDP (Tuolumne County), California",1600000US0675322,-666666666,0.0,-666666666.0,06,75322
202,"Sugarloaf Mountain Park CDP, California",1600000US0675588,-666666666,-666666666.0,-666666666.0,06,75588
203,"Sugarloaf Saw Mill CDP, California",1600000US0675592,-666666666,-666666666.0,-666666666.0,06,75592
204,"Sugarloaf Village CDP, California",1600000US0675596,-666666666,22.2,0.0,06,75596
205,"Sultana CDP, California",1600000US0675672,30313,2.5,38.5,06,75672
206,"Sunnyside CDP, California",1600000US0675994,77527,38.8,17.8,06,75994
207,"Sunny Slopes CDP, California",1600000US0676040,44674,91.0,0.0,06,76040
208,"Sun Village CDP, California",1600000US0677308,46502,5.5,23.3,06,77308
209,"Swall Meadows CDP, California",1600000US0677430,107813,61.2,19.5,06,77430
210,"Tahoma CDP, California",1600000US0677728,70592,46.8,15.3,06,77728
211,"Tarpey Village CDP, California",1600000US0677960,55000,17.2,17.9,06,77960
212,"Terminous CDP, California",1600000US0678232,55313,10.3,5.6,06,78232
213,"Rossmoor CDP, California",1600000US0663050,127891,61.0,3.2,06,63050
214,"Tustin city, California",1600000US0680854,84697,43.7,11.4,06,80854
215,"Beale AFB CDP, California",1600000US0604576,50536,34.2,11.3,06,04576
216,"Ashland CDP, California",1600000US0602980,63406,20.1,13.6,06,02980
217,"Diablo CDP, California",1600000US0619150,143616,81.2,0.0,06,19150
218,"Alamo CDP, California",1600000US0600618,239545,74.2,4.5,06,00618
219,"Byron CDP, California",1600000US0609346,68750,19.4,16.3,06,09346
220,"Richmond city, California",1600000US0660620,68472,28.2,14.7,06,60620
221,"Vine Hill CDP, California",1600000US0682842,106855,27.5,7.1,06,82842
222,"Hilmar-Irwin CDP, California",1600000US0633861,67426,17.9,16.1,06,33861
223,"Lost Hills CDP, California",1600000US0644280,34875,1.3,26.3,06,44280
224,"Cloverdale city, California",1600000US0614190,71378,28.1,8.0,06,14190
225,"Castro Valley CDP, California",1600000US0611964,108488,44.9,6.9,06,11964
226,"Calwa CDP, California",1600000US0610032,47458,0.0,33.4,06,10032
227,"Clovis city, California",1600000US0614218,77904,32.6,10.5,06,14218
228,"Glen Ellen CDP, California",1600000US0630028,145957,61.9,0.0,06,30028
229,"Rohnert Park city, California",1600000US0662546,71585,29.3,12.2,06,62546
230,"Chico city, California",1600000US0613014,53324,37.4,23.2,06,13014
231,"Oroville East CDP, California",1600000US0654388,55054,18.3,10.8,06,54388
232,"Doyle CDP, California",1600000US0619878,-666666666,5.8,24.6,06,19878
233,"Drytown CDP, California",1600000US0619976,-666666666,100.0,90.5,06,19976
234,"Dunnigan CDP, California",1600000US0620228,51000,19.4,15.0,06,20228
235,"Dutch Flat CDP, California",1600000US0620298,40179,34.4,12.4,06,20298
236,"Eagleville CDP, California",1600000US0620424,-666666666,1.9,13.5,06,20424
237,"East Nicolaus CDP, California",1600000US0620900,64844,15.2,23.8,06,20900
238,"East Rancho Dominguez CDP, California",1600000US0621034,54317,4.4,19.7,06,21034
239,"East Tulare Villa CDP, California",1600000US0621210,63693,4.7,10.5,06,21210
240,"Edmundson Acres CDP, California",1600000US0621558,54821,9.4,30.5,06,21558
241,"Edna CDP, California",1600000US0621565,-666666666,41.1,26.7,06,21565
242,"Elizabeth Lake CDP, California",1600000US0621964,63621,14.3,5.6,06,21964
243,"Elk Creek CDP, California",1600000US0622006,48125,10.9,3.8,06,22006
244,"El Nido CDP, California",1600000US0622286,45357,2.8,8.6,06,22286
245,"El Portal CDP, California",1600000US0622328,44821,33.3,0.0,06,22328
246,"El Rancho CDP, California",1600000US0622360,-666666666,0.0,0.0,06,22360
247,"El Sobrante CDP (Riverside County), California",1600000US0622457,120049,42.6,5.9,06,22457
248,"Elverta CDP, California",1600000US0622524,73438,16.4,11.6,06,22524
249,"Eucalyptus Hills CDP, California",1600000US0623000,108327,34.3,3.4,06,23000
250,"Fairmead CDP, California",1600000US0623210,68375,12.0,29.5,06,23210
251,"Fiddletown CDP, California",1600000US0623980,97857,0.0,0.0,06,23980
252,"Fieldbrook CDP, California",1600000US0624008,71691,43.6,15.8,06,24008
253,"Fields Landing CDP, California",1600000US0624022,-666666666,22.7,0.0,06,24022
254,"Pixley CDP, California",1600000US0657512,33824,0.6,35.5,06,57512
255,"Terra Bella CDP, California",1600000US0678288,22500,1.8,42.9,06,78288
256,"Tulare city, California",1600000US0680644,54037,10.9,20.2,06,80644
257,"Arbuckle CDP, California",1600000US0602420,69893,9.8,9.1,06,02420
258,"Lenwood CDP, California",1600000US0641194,43686,9.9,34.6,06,41194
259,"Montclair city, California",1600000US0648788,62024,16.3,14.6,06,48788
260,"Mountain View Acres CDP, California",1600000US0649684,44836,12.1,25.0,06,49684
261,"San Antonio Heights CDP, California",1600000US0664462,91897,42.2,5.2,06,64462
262,"Twentynine Palms city, California",1600000US0680994,44226,20.5,22.7,06,80994
263,"Lompoc city, California",1600000US0642524,54855,12.6,17.3,06,42524
264,"Solvang city, California",1600000US0672576,83431,38.2,9.7,06,72576
265,"Vandenberg Village CDP, California",1600000US0682086,91618,35.9,6.6,06,82086
266,"Foothill Farms CDP, California",1600000US0624722,54426,15.3,18.8,06,24722
267,"North Highlands CDP, California",1600000US0651924,45488,13.6,25.0,06,51924
268,"La Crescenta-Montrose CDP, California",1600000US0639045,102989,51.4,6.7,06,39045
269,"La Habra Heights city, California",1600000US0639304,115762,47.8,7.5,06,39304
270,"Lakewood city, California",1600000US0639892,93432,30.8,6.6,06,39892
271,"Malibu city, California",1600000US0645246,150747,66.0,7.1,06,45246
272,"Rancho Palos Verdes city, California",1600000US0659514,138557,67.6,4.1,06,59514
273,"Soquel CDP, California",1600000US0672688,93305,42.0,10.7,06,72688
274,"East Oakdale CDP, California",1600000US0620907,125756,39.2,0.8,06,20907
275,"Mountain Ranch CDP, California",1600000US0649628,50350,23.3,6.3,06,49628
276,"Crestline CDP, California",1600000US0617162,61953,26.9,14.4,06,17162
277,"Grand Terrace city, California",1600000US0630658,71788,26.8,8.7,06,30658
278,"Hesperia city, California",1600000US0633434,53561,11.2,19.9,06,33434
279,"Lake Arrowhead CDP, California",1600000US0639444,61732,30.6,15.0,06,39444
280,"Yucaipa city, California",1600000US0687042,69104,24.4,10.3,06,87042
281,"Isla Vista CDP, California",1600000US0636868,24545,61.4,64.3,06,36868
282,"Belmont city, California",1600000US0605108,156052,64.7,4.1,06,05108
283,"Brisbane city, California",1600000US0608310,112016,54.8,5.6,06,08310
284,"Menlo Park city, California",1600000US0646870,160784,69.6,7.6,06,46870
285,"Millbrae city, California",1600000US0647486,128494,52.3,5.6,06,47486
286,"Newman city, California",1600000US0651140,62877,11.2,7.3,06,51140
287,"Riverdale Park CDP, California",1600000US0661106,40000,11.2,45.4,06,61106
288,"Porterville city, California",1600000US0658240,43823,11.5,27.5,06,58240
289,"Galt city, California",1600000US0628112,75638,16.5,9.1,06,28112
290,"La Riviera CDP, California",1600000US0640410,64518,32.7,15.5,06,40410
291,"Arnold CDP, California",1600000US0602770,57708,26.8,7.3,06,02770
292,"Dorrington CDP, California",1600000US0619570,43750,34.7,15.1,06,19570
293,"San Jacinto city, California",1600000US0667112,52009,12.8,17.1,06,67112
294,"Arvin city, California",1600000US0602924,38464,1.9,30.0,06,02924
295,"California City city, California",1600000US0609780,49022,11.1,24.1,06,09780
296,"Derby Acres CDP, California",1600000US0618926,48333,6.2,26.4,06,18926
297,"Yreka city, California",1600000US0686944,42483,19.6,22.1,06,86944
298,"El Paso de Robles (Paso Robles) city, California",1600000US0622300,62601,24.4,9.4,06,22300
299,"Lake Nacimiento CDP, California",1600000US0639670,70000,17.8,8.6,06,39670
300,"Etna city, California",1600000US0622972,52833,13.0,13.7,06,22972
301,"Live Oak city, California",1600000US0641936,54792,11.5,19.9,06,41936
302,"Sutter CDP, California",1600000US0677378,69034,12.5,5.6,06,77378
303,"East Foothills CDP, California",1600000US0620598,159189,42.4,4.0,06,20598
304,"Lexington Hills CDP, California",1600000US0641282,166932,60.3,0.7,06,41282
305,"Carmel-by-the-Sea city, California",1600000US0611250,98188,66.0,2.9,06,11250
306,"Del Monte Forest CDP, California",1600000US0618590,147500,63.2,5.3,06,18590
307,"San Lucas CDP, California",1600000US0668140,57500,0.0,24.3,06,68140
308,"Spreckels CDP, California",1600000US0673612,120385,34.2,0.0,06,73612
309,"Fallbrook CDP, California",1600000US0623462,63244,24.5,12.8,06,23462
310,"Granite Hills CDP, California",1600000US0630703,113333,26.9,8.9,06,30703
311,"Georgetown CDP, California",1600000US0629350,54077,16.1,3.2,06,29350
